retiring,title,dept_name
3585,Senior Staff,Customer Service
1096,Staff,Customer Service
416,Senior Engineer,Customer Service
148,Engineer,Customer Service
52,Technique Leader,Customer Service
20,Assistant Engineer,Customer Service
12215,Senior Engineer,Development
4401,Engineer,Development
1680,Technique Leader,Development
529,Assistant Engineer,Development
81,Senior Staff,Development
26,Staff,Development
2833,Senior Staff,Finance
860,Staff,Finance
3194,Senior Staff,Human Resources
997,Staff,Human Resources
2927,Senior Staff,Marketing
904,Staff,Marketing
9852,Senior Engineer,Production
3467,Engineer,Production
1384,Technique Leader,Production
400,Assistant Engineer,Production
99,Senior Staff,Production
18,Staff,Production
2931,Senior Engineer,Quality Management
1086,Engineer,Quality Management
414,Technique Leader,Quality Management
127,Assistant Engineer,Quality Management
3109,Senior Staff,Research
958,Staff,Research
502,Senior Engineer,Research
183,Engineer,Research
73,Technique Leader,Research
14,Assistant Engineer,Research
1,Manager,Research
9098,Senior Staff,Sales
2777,Staff,Sales
1,Manager,Sales
